cif,tran_datetime,tran_amount_equal,gap_minutes,target
N0,2025-09-01 00:00:00,25248.0,89.72,0
N1,2025-09-01 00:01:00,58035.0,47.55,0
N2,2025-09-01 00:02:00,60963.0,104.34,0
N3,2025-09-01 00:03:00,96051.0,250.39,0
N4,2025-09-01 00:04:00,15262.0,43.2,0
N5,2025-09-01 00:05:00,108290.0,43.2,0
N6,2025-09-01 00:06:00,4006.0,264.86,0
N7,2025-09-01 00:07:00,31892.0,117.62,0
N8,2025-09-01 00:08:00,36744.0,34.14,0
N9,2025-09-01 00:09:00,112795.0,93.93,0
N10,2025-09-01 00:10:00,61245.0,34.35,0
N11,2025-09-01 00:11:00,14683.0,34.27,0
N12,2025-09-01 00:12:00,22360.0,69.54,0
N13,2025-09-01 00:13:00,73034.0,8.06,0
N14,2025-09-01 00:14:00,55322.0,9.73,0
N15,2025-09-01 00:15:00,33553.0,31.12,0
N16,2025-09-01 00:16:00,37018.0,19.83,0
N17,2025-09-01 00:17:00,120111.0,74.76,0
N18,2025-09-01 00:18:00,35679.0,22.02,0
N19,2025-09-01 00:19:00,54825.0,13.3,0
N20,2025-09-01 00:20:00,524361.0,236.43,0
N21,2025-09-01 00:21:00,14419.0,43.56,0
N22,2025-09-01 00:22:00,9397.0,58.41,0
N23,2025-09-01 00:23:00,131083.0,13.13,0
N24,2025-09-01 00:24:00,30374.0,31.68,0
N25,2025-09-01 00:25:00,43554.0,61.0,0
N26,2025-09-01 00:26:00,27415.0,17.27,0
N27,2025-09-01 00:27:00,46175.0,79.5,0
N28,2025-09-01 00:28:00,296125.0,29.94,0
N29,2025-09-01 00:29:00,133536.0,40.78,0
N30,2025-09-01 00:30:00,141807.0,29.91,0
N31,2025-09-01 00:31:00,14527.0,348.03,0
N32,2025-09-01 00:32:00,18936.0,53.87,0
N33,2025-09-01 00:33:00,3501.0,18.96,0
N34,2025-09-01 00:34:00,26652.0,124.28,0
N35,2025-09-01 00:35:00,155858.0,16.11,0
N36,2025-09-01 00:36:00,100403.0,67.28,0
N37,2025-09-01 00:37:00,47977.0,7.69,0
N38,2025-09-01 00:38:00,58554.0,14.47,0
N39,2025-09-01 00:39:00,30065.0,66.48,0
N40,2025-09-01 00:40:00,73479.0,114.26,0
N41,2025-09-01 00:41:00,128782.0,64.8,0
N42,2025-09-01 00:42:00,11898.0,48.64,0
N43,2025-09-01 00:43:00,80793.0,40.4,0
N44,2025-09-01 00:44:00,152122.0,12.45,0
N45,2025-09-01 00:45:00,39533.0,26.58,0
N46,2025-09-01 00:46:00,120656.0,34.44,0
N47,2025-09-01 00:47:00,999144.0,157.14,0
N48,2025-09-01 00:48:00,53942.0,76.99,0
N49,2025-09-01 00:49:00,88726.0,9.36,0
N50,2025-09-01 00:50:00,28622.0,75.5,0
N51,2025-09-01 00:51:00,71772.0,37.15,0
N52,2025-09-01 00:52:00,94871.0,27.75,0
N53,2025-09-01 00:53:00,72754.0,100.65,0
N54,2025-09-01 00:54:00,21597.0,153.09,0
