cif,tran_datetime,tran_amount_equal,gap_minutes,target
N0,2025-09-01 00:00:00,117840.0,5.46,0
N1,2025-09-01 00:01:00,268649.0,66.47,0
N2,2025-09-01 00:02:00,186453.0,28.21,0
N3,2025-09-01 00:03:00,242078.0,3.3,0
N4,2025-09-01 00:04:00,124619.0,10.03,0
N5,2025-09-01 00:05:00,434971.0,145.73,0
N6,2025-09-01 00:06:00,927483.0,1.09,0
N7,2025-09-01 00:07:00,34056.0,12.0,0
N8,2025-09-01 00:08:00,123038.0,91.76,0
N9,2025-09-01 00:09:00,342134.0,7.1,0
N10,2025-09-01 00:10:00,585542.0,8.89,0
N11,2025-09-01 00:11:00,77003.0,17.93,0
N12,2025-09-01 00:12:00,193781.0,120.26,0
N13,2025-09-01 00:13:00,15609.0,9.33,0
N14,2025-09-01 00:14:00,102124.0,11.79,0
N15,2025-09-01 00:15:00,1239074.0,11.93,0
N16,2025-09-01 00:16:00,161466.0,283.47,0
N17,2025-09-01 00:17:00,23067.0,277.03,0
N18,2025-09-01 00:18:00,401471.0,67.01,0
N19,2025-09-01 00:19:00,148022.0,31.93,0
N20,2025-09-01 00:20:00,280916.0,48.66,0
N21,2025-09-01 00:21:00,241356.0,120.17,0
N22,2025-09-01 00:22:00,204173.0,6.53,0
N23,2025-09-01 00:23:00,72335.0,82.35,0
N24,2025-09-01 00:24:00,32136.0,4.46,0
N25,2025-09-01 00:25:00,177803.0,9.34,0
N26,2025-09-01 00:26:00,402969.0,59.65,0
N27,2025-09-01 00:27:00,71861.0,3.62,0
N28,2025-09-01 00:28:00,75321.0,16.98,0
N29,2025-09-01 00:29:00,262507.0,7.14,0
N30,2025-09-01 00:30:00,1084946.0,14.78,0
N31,2025-09-01 00:31:00,928622.0,0.7,0
N32,2025-09-01 00:32:00,56429.0,2.4,0
N33,2025-09-01 00:33:00,305447.0,8.67,0
N34,2025-09-01 00:34:00,194604.0,61.13,0
N35,2025-09-01 00:35:00,253903.0,16.31,0
N36,2025-09-01 00:36:00,149259.0,20.15,0
N37,2025-09-01 00:37:00,99148.0,45.87,0
N38,2025-09-01 00:38:00,522274.0,6.99,0
N39,2025-09-01 00:39:00,64382.0,28.23,0
N40,2025-09-01 00:40:00,221394.0,7.64,0
N41,2025-09-01 00:41:00,866262.0,2.53,0
N42,2025-09-01 00:42:00,161840.0,12.57,0
N43,2025-09-01 00:43:00,297538.0,39.99,0
N44,2025-09-01 00:44:00,562701.0,30.15,0
N45,2025-09-01 00:45:00,69819.0,19.8,0
N46,2025-09-01 00:46:00,57040.0,354.55,0
N47,2025-09-01 00:47:00,66702.0,32.97,0
N48,2025-09-01 00:48:00,1263729.0,65.01,0
N49,2025-09-01 00:49:00,111246.0,294.65,0
N50,2025-09-01 00:50:00,176707.0,4.25,0
N51,2025-09-01 00:51:00,89553.0,5.77,0
N52,2025-09-01 00:52:00,74262.0,162.79,0
N53,2025-09-01 00:53:00,107284.0,7.71,0
N54,2025-09-01 00:54:00,523697.0,20.81,0
N55,2025-09-01 00:55:00,224742.0,72.47,0
N56,2025-09-01 00:56:00,273782.0,58.49,0
N57,2025-09-01 00:57:00,106704.0,164.99,0
N58,2025-09-01 00:58:00,339082.0,120.88,0
N59,2025-09-01 00:59:00,241116.0,72.48,0
N60,2025-09-01 01:00:00,42690.0,7.95,0
N61,2025-09-01 01:01:00,259909.0,52.13,0
N62,2025-09-01 01:02:00,57700.0,29.29,0
N63,2025-09-01 01:03:00,419639.0,4.09,0
N64,2025-09-01 01:04:00,161482.0,110.03,0
N65,2025-09-01 01:05:00,65894.0,52.91,0
N66,2025-09-01 01:06:00,269707.0,21.21,0
N67,2025-09-01 01:07:00,63445.0,15.18,0
N68,2025-09-01 01:08:00,236860.0,4.77,0
N69,2025-09-01 01:09:00,34777.0,25.52,0
N70,2025-09-01 01:10:00,211456.0,35.24,0
N71,2025-09-01 01:11:00,258102.0,7.41,0
N72,2025-09-01 01:12:00,61086.0,81.02,0
N73,2025-09-01 01:13:00,60301.0,5.38,0
N74,2025-09-01 01:14:00,66365.0,1.57,0
N75,2025-09-01 01:15:00,50452.0,69.94,0
N76,2025-09-01 01:16:00,178799.0,12.38,0
N77,2025-09-01 01:17:00,95520.0,17.27,0
N78,2025-09-01 01:18:00,67191.0,7.35,0
N79,2025-09-01 01:19:00,192438.0,2.92,0
N80,2025-09-01 01:20:00,40752.0,90.58,0
N81,2025-09-01 01:21:00,211413.0,8.79,0
N82,2025-09-01 01:22:00,582651.0,147.4,0
N83,2025-09-01 01:23:00,1657725.0,52.92,0
N84,2025-09-01 01:24:00,67739.0,13.77,0
N85,2025-09-01 01:25:00,67314.0,5.46,0
N86,2025-09-01 01:26:00,42455.0,8.34,0
N87,2025-09-01 01:27:00,873068.0,4.69,0
N88,2025-09-01 01:28:00,989718.0,245.8,0
N89,2025-09-01 01:29:00,862872.0,24.47,0
N90,2025-09-01 01:30:00,85551.0,79.86,0
N91,2025-09-01 01:31:00,920626.0,4.39,0
N92,2025-09-01 01:32:00,127556.0,24.96,0
N93,2025-09-01 01:33:00,27837.0,82.55,0
N94,2025-09-01 01:34:00,27086.0,13.44,0
N95,2025-09-01 01:35:00,272481.0,69.22,0
N96,2025-09-01 01:36:00,37597.0,5.47,0
N97,2025-09-01 01:37:00,382889.0,3.91,0
N98,2025-09-01 01:38:00,455052.0,31.67,0
N99,2025-09-01 01:39:00,998956.0,12.74,0
N100,2025-09-01 01:40:00,102690.0,43.4,0
N101,2025-09-01 01:41:00,65495.0,1.87,0
N102,2025-09-01 01:42:00,74534.0,47.22,0
N103,2025-09-01 01:43:00,146222.0,453.94,0
N104,2025-09-01 01:44:00,84298.0,19.5,0
N105,2025-09-01 01:45:00,138066.0,20.93,0
N106,2025-09-01 01:46:00,507853.0,24.91,0
N107,2025-09-01 01:47:00,134315.0,2.15,0
N108,2025-09-01 01:48:00,67230.0,33.49,0
N109,2025-09-01 01:49:00,168366.0,2.93,0
N110,2025-09-01 01:50:00,48831.0,12.02,0
N111,2025-09-01 01:51:00,158305.0,89.25,0
N112,2025-09-01 01:52:00,601998.0,8.31,0
N113,2025-09-01 01:53:00,81032.0,36.65,0
N114,2025-09-01 01:54:00,69327.0,67.71,0
N115,2025-09-01 01:55:00,135486.0,28.06,0
N116,2025-09-01 01:56:00,1356703.0,3.88,0
N117,2025-09-01 01:57:00,157555.0,13.48,0
N118,2025-09-01 01:58:00,46989.0,210.88,0
N119,2025-09-01 01:59:00,293599.0,1.77,0
N120,2025-09-01 02:00:00,297708.0,14.43,0
N121,2025-09-01 02:01:00,700603.0,10.36,0
N122,2025-09-01 02:02:00,220752.0,23.22,0
N123,2025-09-01 02:03:00,48053.0,49.3,0
N124,2025-09-01 02:04:00,42927.0,138.44,0
N125,2025-09-01 02:05:00,114262.0,14.52,0
N126,2025-09-01 02:06:00,577365.0,53.24,0
N127,2025-09-01 02:07:00,69287.0,36.59,0
N128,2025-09-01 02:08:00,242324.0,35.49,0
N129,2025-09-01 02:09:00,90916.0,10.21,0
N130,2025-09-01 02:10:00,245779.0,6.07,0
N131,2025-09-01 02:11:00,704042.0,5.37,0
N132,2025-09-01 02:12:00,206735.0,8.1,0
N133,2025-09-01 02:13:00,87243.0,29.55,0
N134,2025-09-01 02:14:00,253378.0,50.06,0
N135,2025-09-01 02:15:00,1483480.0,29.61,0
N136,2025-09-01 02:16:00,108251.0,10.39,0
N137,2025-09-01 02:17:00,234997.0,175.42,0
N138,2025-09-01 02:18:00,428794.0,124.29,0
N139,2025-09-01 02:19:00,440709.0,13.13,0
N140,2025-09-01 02:20:00,348776.0,7.48,0
N141,2025-09-01 02:21:00,237779.0,23.48,0
N142,2025-09-01 02:22:00,712855.0,91.91,0
N143,2025-09-01 02:23:00,533820.0,29.94,0
N144,2025-09-01 02:24:00,103501.0,39.17,0
N145,2025-09-01 02:25:00,255744.0,15.57,0
N146,2025-09-01 02:26:00,231503.0,34.73,0
N147,2025-09-01 02:27:00,110200.0,128.18,0
N148,2025-09-01 02:28:00,22373.0,15.07,0
N149,2025-09-01 02:29:00,394700.0,23.85,0
N150,2025-09-01 02:30:00,100510.0,27.24,0
N151,2025-09-01 02:31:00,119638.0,28.23,0
N152,2025-09-01 02:32:00,225774.0,3.69,0
N153,2025-09-01 02:33:00,65989.0,2.11,0
N154,2025-09-01 02:34:00,256506.0,5.91,0
N155,2025-09-01 02:35:00,653379.0,24.57,0
N156,2025-09-01 02:36:00,203276.0,39.04,0
N157,2025-09-01 02:37:00,541294.0,10.62,0
N158,2025-09-01 02:38:00,83909.0,104.87,0
N159,2025-09-01 02:39:00,278949.0,16.91,0
N160,2025-09-01 02:40:00,153196.0,20.58,0
N161,2025-09-01 02:41:00,20471.0,15.91,0
N162,2025-09-01 02:42:00,513626.0,23.59,0
N163,2025-09-01 02:43:00,156189.0,46.78,0
N164,2025-09-01 02:44:00,253550.0,44.65,0
N165,2025-09-01 02:45:00,132696.0,6.83,0
N166,2025-09-01 02:46:00,126380.0,125.01,0
N167,2025-09-01 02:47:00,122899.0,5.4,0
N168,2025-09-01 02:48:00,104608.0,22.09,0
N169,2025-09-01 02:49:00,120831.0,14.45,0
N170,2025-09-01 02:50:00,90391.0,5.7,0
N171,2025-09-01 02:51:00,85363.0,18.35,0
N172,2025-09-01 02:52:00,50523.0,8.26,0
N173,2025-09-01 02:53:00,2478369.0,21.92,0
N174,2025-09-01 02:54:00,84514.0,32.58,0
N175,2025-09-01 02:55:00,212577.0,117.49,0
N176,2025-09-01 02:56:00,47056.0,29.05,0
N177,2025-09-01 02:57:00,148330.0,9.65,0
N178,2025-09-01 02:58:00,63657.0,12.55,0
N179,2025-09-01 02:59:00,80990.0,23.76,0
N180,2025-09-01 03:00:00,80970.0,22.47,0
N181,2025-09-01 03:01:00,206856.0,115.76,0
N182,2025-09-01 03:02:00,81545.0,107.17,0
N183,2025-09-01 03:03:00,791937.0,13.06,0
N184,2025-09-01 03:04:00,184851.0,10.4,0
N185,2025-09-01 03:05:00,24557.0,0.93,0
N186,2025-09-01 03:06:00,236782.0,10.39,0
N187,2025-09-01 03:07:00,1058540.0,6.21,0
N188,2025-09-01 03:08:00,218036.0,13.12,0
N189,2025-09-01 03:09:00,268312.0,32.13,0
N190,2025-09-01 03:10:00,121446.0,24.84,0
N191,2025-09-01 03:11:00,302086.0,19.38,0
N192,2025-09-01 03:12:00,431143.0,25.52,0
N193,2025-09-01 03:13:00,206691.0,17.26,0
N194,2025-09-01 03:14:00,615598.0,25.44,0
N195,2025-09-01 03:15:00,600645.0,0.42,0
N196,2025-09-01 03:16:00,254999.0,14.54,0
N197,2025-09-01 03:17:00,70784.0,17.58,0
N198,2025-09-01 03:18:00,98212.0,13.34,0
N199,2025-09-01 03:19:00,214846.0,15.46,0
N200,2025-09-01 03:20:00,143652.0,46.71,0
N201,2025-09-01 03:21:00,70443.0,9.8,0
N202,2025-09-01 03:22:00,385140.0,281.7,0
N203,2025-09-01 03:23:00,103052.0,45.88,0
N204,2025-09-01 03:24:00,57860.0,19.93,0
N205,2025-09-01 03:25:00,269403.0,15.67,0
N206,2025-09-01 03:26:00,87215.0,18.1,0
N207,2025-09-01 03:27:00,62651.0,6.7,0
N208,2025-09-01 03:28:00,179085.0,17.92,0
N209,2025-09-01 03:29:00,2711686.0,28.06,0
N210,2025-09-01 03:30:00,98365.0,40.26,0
N211,2025-09-01 03:31:00,159065.0,40.27,0
N212,2025-09-01 03:32:00,111113.0,14.44,0
N213,2025-09-01 03:33:00,168251.0,3.67,0
N214,2025-09-01 03:34:00,39611.0,9.0,0
N215,2025-09-01 03:35:00,123954.0,139.02,0
N216,2025-09-01 03:36:00,457012.0,58.87,0
N217,2025-09-01 03:37:00,43437.0,31.3,0
N218,2025-09-01 03:38:00,725269.0,8.06,0
N219,2025-09-01 03:39:00,29463.0,20.17,0
N220,2025-09-01 03:40:00,399230.0,4.45,0
N221,2025-09-01 03:41:00,431631.0,10.36,0
N222,2025-09-01 03:42:00,483160.0,14.97,0
N223,2025-09-01 03:43:00,183230.0,13.01,0
N224,2025-09-01 03:44:00,224617.0,63.3,0
N225,2025-09-01 03:45:00,340109.0,3.66,0
N226,2025-09-01 03:46:00,41521.0,7.11,0
N227,2025-09-01 03:47:00,286895.0,3.86,0
N228,2025-09-01 03:48:00,71670.0,4.55,0
N229,2025-09-01 03:49:00,163908.0,23.31,0
N230,2025-09-01 03:50:00,661626.0,2.94,0
N231,2025-09-01 03:51:00,288136.0,49.63,0
N232,2025-09-01 03:52:00,70923.0,14.94,0
N233,2025-09-01 03:53:00,792843.0,21.81,0
N234,2025-09-01 03:54:00,45402.0,29.58,0
N235,2025-09-01 03:55:00,70027.0,11.93,0
N236,2025-09-01 03:56:00,432127.0,69.34,0
N237,2025-09-01 03:57:00,78769.0,15.91,0
N238,2025-09-01 03:58:00,331225.0,40.97,0
N239,2025-09-01 03:59:00,317744.0,15.82,0
N240,2025-09-01 04:00:00,183725.0,28.48,0
N241,2025-09-01 04:01:00,313800.0,28.1,0
N242,2025-09-01 04:02:00,100099.0,27.11,0
N243,2025-09-01 04:03:00,81150.0,6.24,0
N244,2025-09-01 04:04:00,142782.0,33.89,0
N245,2025-09-01 04:05:00,160224.0,13.7,0
N246,2025-09-01 04:06:00,64678.0,42.8,0
N247,2025-09-01 04:07:00,23365.0,1.52,0
N248,2025-09-01 04:08:00,519124.0,3.46,0
N249,2025-09-01 04:09:00,408252.0,31.07,0
N250,2025-09-01 04:10:00,181146.0,187.83,0
N251,2025-09-01 04:11:00,72525.0,54.71,0
N252,2025-09-01 04:12:00,2426587.0,8.86,0
N253,2025-09-01 04:13:00,478171.0,2.64,0
N254,2025-09-01 04:14:00,37115.0,48.97,0
N255,2025-09-01 04:15:00,294756.0,18.23,0
N256,2025-09-01 04:16:00,122714.0,40.81,0
N257,2025-09-01 04:17:00,881878.0,23.07,0
N258,2025-09-01 04:18:00,286155.0,20.81,0
N259,2025-09-01 04:19:00,52693.0,699.49,0
N260,2025-09-01 04:20:00,48518.0,19.94,0
N261,2025-09-01 04:21:00,42780.0,16.59,0
N262,2025-09-01 04:22:00,194042.0,17.36,0
N263,2025-09-01 04:23:00,31046.0,9.97,0
N264,2025-09-01 04:24:00,10683.0,65.9,0
N265,2025-09-01 04:25:00,100254.0,13.14,0
N266,2025-09-01 04:26:00,48208.0,43.08,0
N267,2025-09-01 04:27:00,112461.0,28.26,0
N268,2025-09-01 04:28:00,18943.0,86.73,0
N269,2025-09-01 04:29:00,144640.0,33.26,0
N270,2025-09-01 04:30:00,164701.0,4.68,0
N271,2025-09-01 04:31:00,51601.0,4.09,0
N272,2025-09-01 04:32:00,23948.0,108.86,0
N273,2025-09-01 04:33:00,150302.0,9.68,0
N274,2025-09-01 04:34:00,513269.0,4.12,0
N275,2025-09-01 04:35:00,13553.0,8.99,0
N276,2025-09-01 04:36:00,162427.0,91.61,0
N277,2025-09-01 04:37:00,11932.0,3.65,0
N278,2025-09-01 04:38:00,300646.0,7.1,0
N279,2025-09-01 04:39:00,86421.0,9.02,0
N280,2025-09-01 04:40:00,156257.0,4.48,0
N281,2025-09-01 04:41:00,41128.0,4.85,0
N282,2025-09-01 04:42:00,526185.0,3.25,0
N283,2025-09-01 04:43:00,379419.0,11.55,0
N284,2025-09-01 04:44:00,739335.0,13.12,0
N285,2025-09-01 04:45:00,55710.0,8.85,0
N286,2025-09-01 04:46:00,355522.0,2.76,0
N287,2025-09-01 04:47:00,9512306.0,90.38,0
N288,2025-09-01 04:48:00,37164.0,4.08,0
N289,2025-09-01 04:49:00,143139.0,28.04,0
N290,2025-09-01 04:50:00,90177.0,5.53,0
N291,2025-09-01 04:51:00,51247.0,44.79,0
N292,2025-09-01 04:52:00,301833.0,63.24,0
N293,2025-09-01 04:53:00,247924.0,7.01,0
N294,2025-09-01 04:54:00,28311.0,2.0,0
N295,2025-09-01 04:55:00,118848.0,46.29,0
N296,2025-09-01 04:56:00,26939.0,190.75,0
N297,2025-09-01 04:57:00,14873.0,33.08,0
N298,2025-09-01 04:58:00,299282.0,24.35,0
N299,2025-09-01 04:59:00,376712.0,53.72,0
N300,2025-09-01 05:00:00,84037.0,50.3,0
N301,2025-09-01 05:01:00,59827.0,7.43,0
N302,2025-09-01 05:02:00,175015.0,9.11,0
N303,2025-09-01 05:03:00,297406.0,41.82,0
N304,2025-09-01 05:04:00,2121220.0,16.9,0
N305,2025-09-01 05:05:00,237539.0,97.51,0
N306,2025-09-01 05:06:00,1011729.0,8.63,0
N307,2025-09-01 05:07:00,673545.0,49.44,0
N308,2025-09-01 05:08:00,35699.0,30.3,0
N309,2025-09-01 05:09:00,33764.0,17.26,0
N310,2025-09-01 05:10:00,199528.0,82.36,0
N311,2025-09-01 05:11:00,226664.0,45.43,0
N312,2025-09-01 05:12:00,43316.0,6.01,0
N313,2025-09-01 05:13:00,79178.0,43.3,0
N314,2025-09-01 05:14:00,106708.0,104.58,0
N315,2025-09-01 05:15:00,91026.0,17.18,0
N316,2025-09-01 05:16:00,386511.0,14.9,0
N317,2025-09-01 05:17:00,213158.0,8.99,0
N318,2025-09-01 05:18:00,495951.0,19.76,0
