cif,tran_datetime,tran_amount_equal,gap_minutes,target
N0,2025-09-01 00:00:00,372454.0,9.01,0
N1,2025-09-01 00:01:00,124651.0,11.05,0
N2,2025-09-01 00:02:00,642268.0,42.19,0
N3,2025-09-01 00:03:00,64352.0,39.74,0
N4,2025-09-01 00:04:00,17486.0,101.56,0
N5,2025-09-01 00:05:00,117075.0,141.95,0
N6,2025-09-01 00:06:00,28550.0,28.86,0
N7,2025-09-01 00:07:00,729544.0,34.45,0
N8,2025-09-01 00:08:00,53668.0,13.26,0
N9,2025-09-01 00:09:00,67869.0,13.76,0
N10,2025-09-01 00:10:00,184478.0,1.79,0
N11,2025-09-01 00:11:00,168162.0,5.17,0
N12,2025-09-01 00:12:00,191629.0,5.29,0
N13,2025-09-01 00:13:00,91959.0,26.72,0
N14,2025-09-01 00:14:00,551232.0,13.6,0
N15,2025-09-01 00:15:00,169704.0,207.19,0
N16,2025-09-01 00:16:00,130920.0,200.1,0
N17,2025-09-01 00:17:00,184237.0,60.61,0
N18,2025-09-01 00:18:00,76738.0,61.79,0
N19,2025-09-01 00:19:00,9243.0,80.56,0
N20,2025-09-01 00:20:00,272330.0,17.68,0
N21,2025-09-01 00:21:00,249327.0,18.06,0
N22,2025-09-01 00:22:00,65827.0,6.26,0
N23,2025-09-01 00:23:00,158603.0,12.67,0
N24,2025-09-01 00:24:00,558985.0,78.87,0
N25,2025-09-01 00:25:00,215519.0,23.66,0
N26,2025-09-01 00:26:00,195429.0,12.93,0
N27,2025-09-01 00:27:00,870788.0,13.99,0
N28,2025-09-01 00:28:00,79238.0,22.85,0
N29,2025-09-01 00:29:00,52173.0,79.04,0
N30,2025-09-01 00:30:00,378614.0,4.17,0
N31,2025-09-01 00:31:00,244674.0,14.45,0
N32,2025-09-01 00:32:00,113796.0,56.7,0
N33,2025-09-01 00:33:00,107679.0,3.57,0
N34,2025-09-01 00:34:00,87423.0,98.47,0
N35,2025-09-01 00:35:00,355892.0,7.39,0
N36,2025-09-01 00:36:00,196796.0,44.9,0
N37,2025-09-01 00:37:00,181375.0,22.28,0
N38,2025-09-01 00:38:00,322377.0,30.75,0
N39,2025-09-01 00:39:00,9632.0,4.69,0
N40,2025-09-01 00:40:00,183224.0,23.21,0
N41,2025-09-01 00:41:00,30293.0,13.06,0
N42,2025-09-01 00:42:00,209137.0,84.77,0
N43,2025-09-01 00:43:00,253429.0,10.49,0
N44,2025-09-01 00:44:00,472491.0,19.8,0
N45,2025-09-01 00:45:00,267211.0,14.16,0
N46,2025-09-01 00:46:00,106156.0,32.04,0
N47,2025-09-01 00:47:00,76273.0,84.94,0
N48,2025-09-01 00:48:00,157596.0,20.48,0
N49,2025-09-01 00:49:00,381320.0,34.28,0
N50,2025-09-01 00:50:00,198685.0,5.83,0
N51,2025-09-01 00:51:00,36102.0,21.77,0
N52,2025-09-01 00:52:00,285248.0,4.68,0
N53,2025-09-01 00:53:00,317044.0,6.85,0
N54,2025-09-01 00:54:00,201719.0,89.67,0
N55,2025-09-01 00:55:00,1946978.0,18.26,0
N56,2025-09-01 00:56:00,135675.0,9.35,0
N57,2025-09-01 00:57:00,289210.0,20.42,0
N58,2025-09-01 00:58:00,40480.0,3.76,0
N59,2025-09-01 00:59:00,84788.0,159.39,0
N60,2025-09-01 01:00:00,243730.0,11.13,0
N61,2025-09-01 01:01:00,600843.0,27.25,0
N62,2025-09-01 01:02:00,182507.0,14.56,0
N63,2025-09-01 01:03:00,185146.0,18.54,0
N64,2025-09-01 01:04:00,354399.0,5.92,0
N65,2025-09-01 01:05:00,67916.0,13.58,0
N66,2025-09-01 01:06:00,42201.0,44.94,0
N67,2025-09-01 01:07:00,339734.0,9.39,0
N68,2025-09-01 01:08:00,145644.0,17.07,0
N69,2025-09-01 01:09:00,91476.0,177.05,0
N70,2025-09-01 01:10:00,298184.0,22.12,0
N71,2025-09-01 01:11:00,82330.0,6.97,0
N72,2025-09-01 01:12:00,149021.0,80.09,0
N73,2025-09-01 01:13:00,302029.0,55.96,0
N74,2025-09-01 01:14:00,96075.0,57.5,0
N75,2025-09-01 01:15:00,114756.0,28.5,0
N76,2025-09-01 01:16:00,312128.0,27.09,0
N77,2025-09-01 01:17:00,227881.0,105.9,0
N78,2025-09-01 01:18:00,256458.0,14.92,0
N79,2025-09-01 01:19:00,162675.0,67.52,0
N80,2025-09-01 01:20:00,107244.0,29.04,0
N81,2025-09-01 01:21:00,129811.0,52.85,0
N82,2025-09-01 01:22:00,31623.0,21.89,0
N83,2025-09-01 01:23:00,1070723.0,14.93,0
N84,2025-09-01 01:24:00,58125.0,7.94,0
N85,2025-09-01 01:25:00,83100.0,7.14,0
N86,2025-09-01 01:26:00,117972.0,78.31,0
N87,2025-09-01 01:27:00,21070.0,7.78,0
N88,2025-09-01 01:28:00,260175.0,38.92,0
N89,2025-09-01 01:29:00,675065.0,14.25,0
N90,2025-09-01 01:30:00,192729.0,8.0,0
N91,2025-09-01 01:31:00,154846.0,74.69,0
N92,2025-09-01 01:32:00,399940.0,137.65,0
N93,2025-09-01 01:33:00,91977.0,2.03,0
N94,2025-09-01 01:34:00,33701.0,23.45,0
N95,2025-09-01 01:35:00,44027.0,42.58,0
N96,2025-09-01 01:36:00,321365.0,22.19,0
N97,2025-09-01 01:37:00,336928.0,326.09,0
N98,2025-09-01 01:38:00,563594.0,311.56,0
N99,2025-09-01 01:39:00,1067840.0,32.34,0
N100,2025-09-01 01:40:00,293367.0,8.26,0
N101,2025-09-01 01:41:00,262770.0,7.21,0
N102,2025-09-01 01:42:00,318251.0,1.74,0
N103,2025-09-01 01:43:00,304768.0,82.2,0
N104,2025-09-01 01:44:00,1628775.0,6.42,0
N105,2025-09-01 01:45:00,36212.0,46.0,0
N106,2025-09-01 01:46:00,28447.0,50.3,0
N107,2025-09-01 01:47:00,97112.0,11.4,0
N108,2025-09-01 01:48:00,809083.0,7.79,0
N109,2025-09-01 01:49:00,110675.0,18.44,0
N110,2025-09-01 01:50:00,67680.0,15.09,0
N111,2025-09-01 01:51:00,2020893.0,73.19,0
N112,2025-09-01 01:52:00,150369.0,262.93,0
N113,2025-09-01 01:53:00,312003.0,30.65,0
N114,2025-09-01 01:54:00,87932.0,62.09,0
N115,2025-09-01 01:55:00,178411.0,5.03,0
N116,2025-09-01 01:56:00,334106.0,127.93,0
N117,2025-09-01 01:57:00,564563.0,440.13,0
N118,2025-09-01 01:58:00,530298.0,43.67,0
N119,2025-09-01 01:59:00,113965.0,7.66,0
N120,2025-09-01 02:00:00,200428.0,16.99,0
N121,2025-09-01 02:01:00,417599.0,6.11,0
N122,2025-09-01 02:02:00,481814.0,6.88,0
